DEPTH,WELL,CALI,CGR,DT,DTC,DTS,GR,NPHI,PE,POTA,RHOB,RT,RXO,SGR,THOR,URAN,LITHOLOGY
3694.4036,B,7.9699,21.6712,62.1382,-24.6912,33.3681,28,0.093401,5.1541,1.315,2.5719,1.4933,1.1596,28.2321,0.8767,0.5973,-999.25
3694.556,B,7.9725,21.2984,61.0942,63.195,120.1099,25.9846,0.091601,5.2,1.2971,2.5891,1.7119,1.4645,28.6374,0.8391,0.6958,-999.25
3694.7084,B,7.9749,20.3458,60.3646,62.811,117.6982,24.8265,0.086403,5.0974,1.2525,2.5999,1.9718,1.7356,28.1291,0.7379,0.7501,-999.25
3694.8608,B,7.9766,19.5276,59.9658,62.2733,115.6809,24.1915,0.082602,5.0011,1.2125,2.6119,2.3084,2.1589,27.5415,0.6589,0.7839,-999.25
3695.0132,B,7.9774,19.2535,59.8785,61.6987,114.4189,24.5139,0.079302,5.0279,1.1942,2.6166,2.5474,2.6491,27.1765,0.6558,0.7639,-999.25
3695.1656,B,7.9741,19.2385,59.8046,60.9799,113.2545,25.2125,0.076601,5.0647,1.1847,2.6145,2.9178,2.8438,26.9716,0.6962,0.7298,-999.25
3695.318,B,7.9685,19.718,59.8074,60.4331,112.4519,27.0219,0.0761,5.0556,1.1963,2.6099,2.9742,2.777,27.1713,0.7985,0.6831,-999.25
3695.4704,B,7.9628,20.4501,59.9414,60.1515,111.9996,27.7557,0.0755,5.0233,1.2152,2.6015,2.5709,2.3254,27.4111,0.9494,0.6126,-999.25
3695.6228,B,7.9616,21.1992,60.0264,59.9299,111.6032,26.2597,0.079498,4.9782,1.2404,2.5895,2.1667,1.8016,27.8199,1.0757,0.5933,-999.25
3695.7752,B,7.9618,21.6451,59.9791,59.796,111.2078,25.3817,0.093992,4.8854,1.2588,2.572,1.9912,1.4662,28.0313,1.1348,0.5937,-999.25
3695.9276,B,7.9622,22.1507,59.6255,59.629,110.3301,25.8453,0.098997,4.9025,1.2889,2.5653,2.0869,1.4602,28.5703,1.1582,0.6053,-999.25
3696.08,B,7.9636,22.9961,58.7869,59.4137,109.1456,26.7487,0.094303,5.0903,1.3456,2.5849,2.5577,2.302,29.7447,1.1666,0.6309,-999.25
3696.2324,B,7.9654,23.4468,58.2138,59.1979,108.1634,26.5517,0.0934,5.1658,1.3724,2.6205,3.177,2.9625,30.347,1.1873,0.6432,-999.25
3696.3848,B,7.9676,23.4592,57.9394,58.8685,107.2461,25.1105,0.080307,5.122,1.364,2.6496,4.2699,2.8743,30.4659,1.231,0.6445,-999.25
3696.5372,B,7.9709,23.0854,58.1134,58.359,106.2636,24.7335,0.060711,5.0394,1.3299,2.6669,4.8992,2.3572,30.1741,1.27,0.6369,-999.25
3696.6896,B,7.9729,22.5923,58.3656,57.6466,105.3372,25.1425,0.061799,5.0691,1.3025,2.6547,4.8836,2.2803,29.8962,1.2381,0.6513,-999.25
3696.842,B,7.9687,22.2838,58.4058,56.6398,104.6401,24.7725,0.065398,5.0769,1.2911,2.6414,4.527,2.3909,29.9474,1.1909,0.6884,-999.25
3696.9944,B,7.9621,21.9913,58.215,55.9117,104.3789,24.2947,0.0646,4.8883,1.289,2.6427,4.5197,2.4675,30.1311,1.105,0.7412,-999.25
3697.1468,B,7.9604,21.5606,58.1908,55.4591,104.48,23.0989,0.0641,4.7077,1.2781,2.6441,4.742,2.379,30.0428,1.0152,0.7743,-999.25
3697.2992,B,7.9629,20.8229,57.9042,55.0243,104.8396,22.7754,0.059503,4.7598,1.2327,2.6468,4.9315,2.4274,28.8171,0.9885,0.7134,-999.25
3697.4516,B,7.9532,20.5252,57.4368,54.9912,105.2711,24.6439,0.055502,4.8365,1.2069,2.6561,4.9273,2.7698,27.9551,1.0132,0.6388,-999.25
3697.604,B,7.9296,21.1548,57.2771,55.3733,105.7383,25.9458,0.053101,4.8452,1.2329,2.6596,4.8945,3.0997,28.0938,1.0966,0.5544,-999.25
3697.7564,B,7.9008,21.7419,57.6209,56.6057,106.6599,27.0565,0.051301,4.8297,1.2564,2.6491,4.3288,2.9981,28.2137,1.1778,0.4721,-999.25
3697.9088,B,7.8875,22.1495,58.1583,57.8911,107.5459,27.2752,0.052999,4.7301,1.2702,2.6247,3.801,2.6041,28.1417,1.2464,0.4109,-999.25
3698.0612,B,7.888,22.6499,58.5472,59.1128,108.6183,26.5867,0.054099,4.668,1.2907,2.6072,3.4561,2.0365,28.2462,1.3134,0.3668,-999.25
3698.2136,B,7.8892,23.3416,58.6829,60.3616,109.8043,27.1942,0.056499,4.8094,1.3301,2.5988,3.1732,1.8183,28.5881,1.3538,0.3395,-999.25
3698.366,B,7.8915,24.1998,58.7728,61.012,110.7455,28.4099,0.062996,4.9597,1.3842,2.5961,3.2555,1.9254,29.2815,1.3788,0.3296,-999.25
3698.5184,B,7.8948,24.1468,58.8597,60.9407,111.6548,27.9357,0.070696,5.0579,1.3946,2.6065,3.5909,2.3292,29.3479,1.3118,0.3494,-999.25
3698.6708,B,7.8901,22.9579,58.8688,59.8067,111.7531,25.6753,0.076497,5.1986,1.3516,2.6164,3.7349,2.7116,28.6535,1.1253,0.4013,-999.25
3698.8232,B,7.8788,22.3392,58.8097,58.3752,111.3261,24.9888,0.0763,5.3066,1.3311,2.6221,3.5644,2.5133,28.6368,1.0198,0.4499,-999.25
3698.9756,B,7.8706,21.7447,59.0498,57.3593,110.9057,25.5509,0.077699,5.325,1.3033,2.623,3.2304,2.0869,28.6909,0.956,0.4966,-999.25
3699.128,B,7.8654,21.643,59.7841,56.9134,110.6598,25.4488,0.0775,5.2555,1.3014,2.5938,2.7049,1.5456,29.1474,0.932,0.5244,-999.25
3699.2804,B,7.8596,21.882,61.0635,57.0047,110.984,26.0171,0.083397,5.2352,1.3096,2.5413,2.2767,1.3051,30.0094,0.9716,0.5566,-999.25
3699.4328,B,7.8478,21.6587,61.611,57.9306,112.4636,27.2098,0.089996,5.2159,1.2926,2.5338,2.1694,1.3322,30.2555,0.9788,0.5894,-999.25
3699.5852,B,7.8356,21.9301,61.77,59.2402,114.2852,28.6634,0.088501,5.1757,1.3055,2.543,2.1352,1.2823,30.8344,1.0065,0.607,-999.25
3699.7376,B,7.8315,22.5703,61.673,60.1573,115.3564,29.0291,0.081604,5.1539,1.3387,2.5534,2.0504,1.2586,31.6072,1.0594,0.6094,-999.25
3699.89,B,7.8259,23.183,61.5621,60.6914,115.7709,28.5349,0.084099,5.2533,1.3541,2.5495,1.8677,1.3231,31.794,1.1873,0.5754,-999.25
3700.0424,B,7.816,23.948,61.9506,61.0017,115.815,27.9605,0.093895,5.3404,1.3696,2.5493,1.7055,1.2966,32.0355,1.3651,0.535,-999.25
3700.1948,B,7.8063,24.4843,62.6564,61.048,115.6457,27.7759,0.104194,5.3666,1.3702,2.552,1.5329,1.1155,32.2815,1.5381,0.5233,-999.25
3700.3472,B,7.8041,24.9849,62.6757,60.8259,115.5502,27.3806,0.111296,5.3963,1.3742,2.5504,1.4206,1.009,32.5335,1.6838,0.5191,-999.25
3700.4996,B,7.8042,25.2333,62.211,60.5933,115.6247,27.4512,0.120895,5.3004,1.3915,2.546,1.351,1.1735,32.6213,1.6831,0.5126,-999.25
3700.652,B,7.805,25.2442,61.8096,60.5322,116.0229,28.2166,0.127896,5.1896,1.4015,2.5394,1.3191,1.4212,32.4653,1.6395,0.5003,-999.25
3700.8044,B,7.8047,25.1388,61.9058,60.5255,116.5304,28.8872,0.130798,5.1904,1.4066,2.5307,1.3142,1.3994,32.3096,1.5804,0.5024,-999.25
3700.9568,B,7.8014,25.1659,62.2052,60.6996,117.1171,29.1946,0.137596,5.2047,1.4185,2.5266,1.3441,1.2165,32.502,1.5328,0.5261,-999.25
3701.1092,B,7.7977,25.7106,62.6158,61.1457,117.9996,28.5852,0.135101,5.2233,1.4612,2.5282,1.3572,1.2023,33.8004,1.5094,0.604,-999.25
3701.2616,B,7.7962,26.0393,63.0867,61.5566,118.6041,28.0561,0.128304,5.2299,1.4937,2.5296,1.3431,1.1839,34.7646,1.4631,0.6676,-999.25
3701.414,B,7.7962,25.6498,63.4581,61.7813,118.8836,27.7954,0.131698,5.1342,1.4835,2.5293,1.2838,1.0325,34.3986,1.3836,0.6461,-999.25
3701.5664,B,7.7963,25.4685,63.9218,61.9276,119.0882,26.768,0.135398,5.0229,1.4817,2.5272,1.1946,0.8501,34.061,1.3323,0.6101,-999.25
3701.7188,B,7.7965,25.0186,64.2858,62.0063,119.2199,24.9031,0.134101,5.0169,1.4535,2.5279,1.1079,0.7464,33.0904,1.3185,0.5454,-999.25
3701.8712,B,7.7966,24.6091,64.4722,62.2028,119.4438,25.2942,0.136299,5.2219,1.4223,2.5287,1.0715,0.6886,32.0682,1.3321,0.4673,-999.25
3702.0236,B,7.7966,24.4796,64.4184,62.8417,120.2262,27.0553,0.137899,5.4224,1.4085,2.5269,1.0444,0.6697,31.5877,1.3552,0.4298,-999.25
3702.176,B,7.7966,25.3019,64.5884,63.7375,121.5456,28.4887,0.141898,5.4591,1.4504,2.526,1.0233,0.664,32.5224,1.4264,0.4532,-999.25
3702.3284,B,7.7967,24.9193,64.7016,64.494,122.869,28.4621,0.138602,5.3836,1.4329,2.5216,1.0202,0.6822,32.2108,1.3837,0.4833,-999.25
3702.4808,B,7.7968,24.2344,65.4282,65.1369,124.2908,27.4606,0.143297,5.3146,1.4048,2.5089,1.0127,0.7388,31.4906,1.2922,0.501,-999.25
3702.6332,B,7.7968,23.4113,65.8462,65.7144,125.87,27.053,0.1433,5.2969,1.3643,2.5036,1.0137,0.7507,30.5936,1.2138,0.5105,-999.25
3702.7856,B,7.7969,23.2433,65.5614,66.1304,127.2811,26.9812,0.136704,5.336,1.3555,2.5081,1.0556,0.7834,30.5381,1.2006,0.5287,-999.25
