sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
1,0.000680579,25.471,49.735,73.408,96.928,119.58,980.04,410.07,397.78,388.08,379.36,371.3,0.25
2,0.0033071,118.83,218.46,302.95,378.49,444.91,4762.3,1828.0,1578.2,1385.0,1218.4,1088.8,0.23
3,0.00110418,45.529,87.461,127.69,167.11,204.59,1590.0,725.02,687.42,659.53,635.76,614.49,0.21
4,0.00366266,138.67,259.88,369.82,470.76,558.22,5274.3,2199.3,1987.1,1802.2,1628.1,1433.7,0.25
5,0.00021358,9.7412,19.257,28.656,38.117,47.345,307.56,159.06,156.0,154.09,152.59,151.28,0.22
6,9.74855e-06,0.50401,0.95654,1.3911,1.8202,2.2331,14.038,7.8906,7.4186,7.1246,6.92,6.7689,0.2
7,0.000711921,34.756,68.642,101.57,134.12,165.31,1025.2,574.33,555.51,539.73,525.09,511.35,0.24
8,0.00223356,99.556,190.82,275.92,356.64,430.87,3216.4,1609.2,1496.1,1395.1,1301.9,1217.0,0.22
9,8.53617e-06,0.44447,0.8486,1.2391,1.6264,2.0008,12.292,6.992,6.6251,6.4009,6.2481,6.1379,0.17
10,0.000164172,8.6642,17.336,25.932,34.61,43.096,236.41,144.33,142.16,140.93,139.97,139.11,0.17
11,0.0014149,57.686,110.54,160.43,208.55,253.64,2037.5,931.19,866.44,817.88,776.19,739.1,0.19
12,0.00420099,165.05,307.46,429.91,537.42,629.27,6049.5,2582.9,2258.4,2007.4,1734.0,1505.7,0.19
13,0.00151976,60.561,117.1,171.31,224.22,274.28,2188.5,973.15,926.87,888.62,853.44,820.6,0.26
14,0.00323909,130.21,241.77,338.84,426.68,501.71,4664.3,2019.2,1772.0,1591.4,1416.7,1230.1,0.25
15,0.00104693,41.056,80.533,118.64,156.06,191.68,1507.6,672.66,647.17,624.68,603.62,583.91,0.26
16,0.000818672,37.831,73.408,107.7,141.36,173.41,1178.9,609.48,583.23,562.11,543.02,525.4,0.26
17,0.00062157,31.438,62.476,92.806,122.95,151.98,895.07,522.01,508.82,497.23,486.23,475.8,0.24
18,0.000282832,14.076,27.652,40.979,54.336,67.319,407.28,229.38,222.55,218.48,215.44,212.83,0.26
19,0.017361,1475.0,2840.6,3716.6,4414.9,4985.2,25000.0,25000.0,17433.0,13624.0,11264.0,9348.4,0.26
20,0.00239804,94.771,179.88,259.19,334.47,403.83,3453.2,1508.9,1395.3,1300.0,1214.3,1137.0,0.17
21,0.00287875,105.54,199.74,287.24,370.08,444.57,4145.4,1678.9,1544.2,1434.5,1336.2,1221.1,0.2
22,0.000349832,16.221,31.741,47.017,62.347,77.254,503.76,261.13,254.43,250.43,247.25,244.38,0.2
23,0.000136506,7.5677,15.103,22.569,30.101,37.463,196.57,125.53,123.54,122.38,121.49,120.69,0.23
24,0.00519757,161.87,293.97,405.63,506.06,594.42,7484.6,2466.9,2076.7,1830.4,1619.9,1448.5,0.24
25,0.00360412,142.77,266.24,377.91,480.84,570.59,5190.0,2249.0,2024.0,1830.7,1660.1,1471.3,0.26
26,0.00122113,58.098,114.08,167.72,219.97,269.26,1758.4,959.32,917.73,879.43,842.67,808.0,0.26
27,5.61209e-05,3.0468,6.0817,9.0979,12.152,15.147,80.815,50.464,49.752,49.446,49.257,49.109,0.24
28,0.00406251,144.86,266.49,369.59,461.2,541.03,5850.1,2210.1,1929.5,1690.2,1477.6,1308.7,0.26
29,0.000919288,43.131,85.221,126.0,166.19,204.55,1323.8,714.49,689.99,668.59,648.17,628.79,0.22
30,0.000382542,18.536,36.677,54.523,72.4,89.75,550.86,304.44,297.4,292.56,288.34,284.42,0.19
31,0.000707386,31.149,61.247,90.595,119.73,147.76,1018.6,508.97,493.41,481.12,469.92,459.51,0.19
32,0.00363904,146.38,272.4,386.28,491.07,582.1,5240.3,2298.0,2065.9,1866.9,1690.1,1492.4,0.22
33,0.000582855,24.474,48.06,70.999,93.75,115.64,839.32,401.05,386.67,376.04,366.96,358.8,0.18
34,6.95239e-05,3.5604,7.1505,10.729,14.356,17.917,100.12,59.191,58.855,58.662,58.507,58.365,0.19
35,0.00179652,82.811,160.45,233.98,304.84,371.03,2587.0,1353.5,1272.9,1205.4,1142.9,1085.1,0.19
36,4.89874e-06,0.27443,0.53792,0.79923,1.0639,1.324,7.0542,4.4181,4.3196,4.2838,4.2694,4.2632,0.25
37,0.00226164,89.626,169.47,243.38,313.14,377.08,3256.8,1425.1,1309.0,1211.6,1125.2,1048.2,0.19
38,0.000124055,4.5192,8.6505,12.685,16.746,20.717,178.64,70.137,67.171,66.135,65.511,65.095,0.25
39,0.00221327,79.39,150.15,215.92,278.33,334.69,3187.1,1264.2,1160.0,1078.2,1006.6,923.88,0.18
40,0.0010681,48.632,94.284,137.9,180.35,220.41,1538.1,788.19,748.4,715.0,684.63,656.78,0.22
41,0.00184807,64.84,122.03,176.25,228.78,277.54,2661.2,1005.3,937.57,888.73,847.29,799.35,0.17
42,0.00229104,74.548,141.99,205.8,266.34,322.06,3299.1,1179.7,1105.7,1045.9,976.51,913.52,0.17
43,0.00522076,189.95,350.98,486.3,603.96,705.17,7517.9,2945.7,2548.7,2218.3,1897.8,1659.2,0.26
44,0.00122371,47.505,91.885,134.32,175.68,214.76,1762.1,766.33,727.54,695.74,667.05,640.69,0.24
45,0.00435593,138.59,244.68,334.31,415.71,487.87,6272.6,2020.0,1660.9,1469.4,1312.9,1183.0,0.18
46,0.00242713,107.85,207.54,300.52,388.64,469.55,3495.1,1753.0,1634.3,1524.3,1421.2,1326.5,0.23
47,0.000521963,26.641,53.051,78.922,104.7,129.57,751.63,442.9,432.94,424.12,415.7,407.7,0.19
48,0.00125769,54.227,106.13,155.94,204.57,250.55,1811.1,889.01,850.84,816.65,784.26,753.87,0.21
49,0.00012876,5.6445,11.021,16.325,21.674,26.908,185.42,90.671,88.135,86.949,86.276,85.808,0.19
50,0.017361,1475.0,2838.5,3636.7,4276.5,4807.0,25000.0,25000.0,15344.0,12460.0,10319.0,8697.2,0.21
51,0.00111544,45.163,84.473,121.49,157.32,191.12,1606.2,700.3,644.43,606.79,578.0,554.11,0.21
52,0.000929322,40.761,80.162,118.33,155.94,191.88,1338.2,669.42,645.93,625.65,606.74,589.04,0.22
53,0.000653006,23.539,46.117,68.298,90.473,111.95,940.33,378.53,370.13,363.63,357.66,352.0,0.26
54,7.70356e-05,4.1547,8.2857,12.38,16.518,20.571,110.93,68.922,67.722,67.126,66.74,66.443,0.2
55,0.00256451,97.048,179.22,252.08,318.49,377.58,3692.9,1484.8,1308.5,1194.5,1071.0,968.73,0.21
56,0.000383956,17.0,33.087,48.837,64.59,79.875,552.9,273.14,263.72,258.2,254.08,250.57,0.17
57,0.00217151,87.471,164.71,236.39,304.38,367.02,3127.0,1386.1,1266.3,1175.1,1096.6,1026.9,0.23
58,0.0008589,39.197,77.624,115.0,151.96,187.37,1236.8,650.3,629.95,612.69,596.2,580.44,0.25
59,3.03147e-06,0.16573,0.31489,0.45799,0.59912,0.73486,4.3653,2.6036,2.4452,2.3459,2.2763,2.2252,0.25
60,0.00230987,88.367,167.74,241.88,312.46,377.67,3326.2,1404.2,1301.2,1215.4,1138.4,1069.0,0.23
61,0.00187774,81.172,154.12,221.95,286.33,345.71,2704.0,1298.9,1195.9,1111.9,1038.5,973.37,0.19
62,0.000265812,12.79,25.567,38.237,51.011,63.482,382.77,211.93,209.46,207.7,206.04,204.44,0.22
63,0.00440665,163.5,304.2,431.05,544.89,643.73,6345.6,2571.3,2306.6,2079.5,1836.2,1620.3,0.23
64,0.00244554,91.462,174.26,251.64,325.27,393.21,3521.6,1460.7,1357.3,1268.6,1187.5,1113.7,0.26
65,0.00364495,143.11,265.37,371.15,464.96,546.09,5248.8,2223.4,1939.3,1734.1,1513.1,1329.9,0.18
66,0.000424983,18.506,36.662,54.512,72.374,89.688,611.98,304.17,297.64,292.62,288.09,283.83,0.25
67,0.00412622,144.44,269.29,381.2,481.56,570.15,5941.8,2270.4,2046.8,1834.5,1618.8,1452.2,0.18
68,0.00350059,127.12,235.72,334.59,423.94,502.93,5040.9,1968.9,1780.4,1620.8,1441.1,1294.9,0.18
69,0.00166659,69.145,134.38,196.79,257.56,314.9,2399.9,1125.9,1069.4,1023.1,980.13,940.1,0.17
70,0.00168878,67.964,131.38,191.56,249.74,304.29,2431.9,1105.1,1039.6,986.52,938.44,894.31,0.25
71,0.000713137,37.871,75.444,112.07,148.37,183.2,1026.9,633.15,615.96,600.45,585.43,571.08,0.26
72,0.000117709,5.8784,11.667,17.391,23.162,28.8,169.5,96.637,94.892,93.846,93.072,92.432,0.25
73,0.017361,1475.0,3000.0,4296.8,5200.2,5925.2,25000.0,25000.0,25000.0,18654.0,14570.0,11886.0,0.17
74,0.000737222,35.747,70.809,104.92,138.66,171.0,1061.6,592.93,574.79,559.12,544.27,530.22,0.23
75,0.000732868,34.24,67.727,100.45,132.99,164.33,1055.3,565.42,548.97,536.42,524.81,513.8,0.21
76,0.00555391,202.46,369.97,511.23,628.88,729.56,7997.7,3089.7,2642.3,2208.8,1897.5,1650.6,0.18
77,0.00139047,57.304,111.85,164.23,215.39,263.81,2002.3,936.24,894.23,858.6,825.21,793.83,0.23
78,0.000299878,15.206,30.304,45.137,59.964,74.326,431.83,252.82,247.52,243.15,239.15,235.44,0.18
79,0.000156319,7.7734,15.508,23.176,30.918,38.49,225.1,128.6,126.79,125.71,124.87,124.12,0.21
80,0.000379468,15.339,29.699,43.712,57.706,71.276,546.44,245.87,235.41,229.71,225.72,222.46,0.26
81,0.00189531,71.743,136.31,197.23,255.87,310.61,2729.3,1133.2,1058.4,998.83,945.74,897.39,0.23
82,0.00121269,50.117,97.307,142.48,186.54,228.21,1746.3,814.86,773.6,740.56,710.65,683.11,0.25
83,9.3367e-05,4.9449,9.9281,14.89,19.915,24.843,134.45,82.243,81.691,81.343,81.053,80.788,0.19
84,0.00173391,72.579,136.53,194.38,249.14,299.56,2496.8,1139.2,1023.1,948.41,883.24,826.45,0.22
85,0.000539531,26.031,51.187,75.672,99.967,123.34,776.93,427.34,412.39,401.39,391.86,383.22,0.21
86,0.00109648,52.144,102.6,151.32,199.18,244.72,1578.9,860.78,827.18,798.66,771.86,746.67,0.22
87,0.00175441,60.893,116.24,168.95,220.16,268.33,2526.4,962.43,907.33,864.15,825.91,789.62,0.18
88,0.000911251,38.061,73.869,108.36,142.22,174.45,1312.2,613.77,587.01,565.43,546.1,528.46,0.17
89,0.000508513,24.135,47.624,70.504,93.225,115.11,732.26,398.59,385.08,375.07,366.48,358.73,0.26
90,0.00037382,17.175,34.056,50.64,67.229,83.31,538.3,282.91,276.73,271.87,267.56,263.63,0.17
91,0.017361,1475.0,3000.0,4264.9,5132.4,5815.2,25000.0,25000.0,25000.0,18098.0,13991.0,11194.0,0.21
92,7.85716e-06,0.39669,0.75567,1.103,1.4476,1.7803,11.314,6.2024,5.8848,5.6933,5.5582,5.4543,0.21
93,0.00114515,54.47,105.57,154.35,201.86,246.74,1649.0,886.0,837.67,799.76,766.22,735.69,0.24
94,0.00318735,134.12,255.21,366.54,470.54,564.7,4589.8,2163.4,1985.1,1825.0,1677.4,1543.7,0.25
95,0.000387173,17.679,35.194,52.468,69.805,86.659,557.53,292.31,287.13,283.18,279.62,276.29,0.17
96,0.000334698,15.125,29.82,44.283,58.784,72.87,481.97,246.37,240.89,237.11,233.88,230.93,0.22
97,1.59556e-05,1.0625,2.1516,3.2393,4.3438,5.4294,22.976,17.891,17.853,17.831,17.814,17.798,0.23
98,0.00652471,213.64,362.73,481.74,578.42,662.57,9395.6,3060.4,2280.4,1858.5,1559.3,1379.6,0.25
99,8.9171e-05,4.7312,9.4795,14.205,18.99,23.682,128.41,78.46,77.841,77.474,77.177,76.908,0.26
100,5.91765e-05,3.1114,6.2391,9.3539,12.51,15.607,85.215,51.666,51.273,51.062,50.904,50.767,0.17
101,0.000294653,15.669,31.197,46.464,61.756,76.599,424.3,260.81,254.55,250.27,246.64,243.34,0.23
102,0.00184838,84.286,163.2,237.75,309.36,376.05,2661.7,1371.9,1293.7,1222.1,1155.0,1093.3,0.22
103,0.00148911,60.983,117.82,172.3,225.48,275.82,2144.3,979.33,931.82,892.98,857.74,825.26,0.2
104,0.00189753,78.087,149.3,216.36,280.74,340.72,2732.5,1253.5,1167.4,1099.3,1038.5,983.19,0.19
105,0.000826,35.08,67.05,97.79,128.08,157.09,1189.4,556.58,524.1,503.92,488.59,475.56,0.19
106,0.000761607,31.039,60.59,89.238,117.55,144.69,1096.7,503.4,484.44,469.63,456.67,444.88,0.24
107,0.00402544,144.86,268.76,376.09,471.36,555.13,5796.7,2233.6,1970.8,1759.5,1536.7,1373.3,0.23
108,0.00105444,47.419,92.132,134.98,176.85,216.54,1518.4,770.83,733.01,702.48,675.32,650.58,0.2
