DEPTH,PHIE,SWE,VSH
2280,0.098936,0.6589,0.165324
2280.1,0.120352,0.6506,0.194339
2280.2,0.138746,0.6113,0.194433
2280.3,0.146975,0.6588,0.206715
2280.4,0.184781,0.6172,0.208941
2280.5,0.205773,0.5507,0.209939
2280.6,0.224587,0.5259,0.214522
2280.7,0.232053,0.5207,0.240131
2280.8,0.238126,0.509,0.265507
2280.9,0.230161,0.5435,0.27738
2281,0.215252,0.6133,0.281706
2281.1,0.190981,0.7076,0.266308
2281.2,0.181384,0.746,0.250999
2281.3,0.140953,0.8866,0.277285
2281.4,0.124208,0.9709,0.201642
2281.5,0.10624,1,0.195317
2281.6,0.102371,1,0.14567
2281.7,0.105745,0.8544,0.088646
2281.8,0.117095,0.6465,0.045041
2281.9,0.136237,0.4829,0.035018
2282,0.167325,0.3731,0.045758
2282.1,0.194047,0.3271,0.078392
2282.2,0.205556,0.3205,0.129177
2282.3,0.201797,0.3379,0.159837
2282.4,0.18514,0.3812,0.166595
2282.5,0.169619,0.4297,0.172518
2282.6,0.172837,0.4378,0.176824
2282.7,0.166852,0.4583,0.169396
2282.8,0.182844,0.4219,0.173351
2282.9,0.211939,0.3778,0.194404
2283,0.211536,0.3966,0.21888
2283.1,0.223775,0.3875,0.235498
2283.2,0.180294,0.4832,0.23618
2283.3,0.156393,0.546,0.210891
2283.4,0.137933,0.5945,0.1987
2283.5,0.084514,0.87,0.166463
2283.6,0.053281,1,0.059763
2283.7,0.022959,1,0.049995
2283.8,0.000033,1,0.003432
2283.9,0.000002,1,0.000001
2284,0.000002,1,0.000001
2284.1,0.000002,1,0.000001
2284.2,0.000002,1,0.000001
2284.3,0.000002,1,0.000001
2284.4,0.000002,1,0.000001
2284.5,0.000002,1,0.000001
2284.6,0.000002,1,0.000001
2284.7,0.000002,1,0.000001
2284.8,0.000002,1,0.000001
2284.9,0.000002,1,0.000001
2285,0.000002,1,0.000001
2285.1,0.000002,1,0.000001
2285.2,0.000002,1,0.000001
2285.3,0.000002,1,0.000001
2285.4,0.000002,1,0.000001
2285.5,0.00219,0.9995,0.009161
2285.6,0.008305,0.9999,0.016442
2285.7,0.011864,0.9999,0.017808
